Id,Degree,Eccentricity,closnesscentrality,betweenesscentrality,modularity_class
84283,1,0,0,0,137
78026,2,0,0,0,137
45813,1,0,0,0,137
13599,1,0,0,0,137
84840,1,0,0,0,137
39954,1,0,0,0,137
44668,1,0,0,0,137
53807,1,0,0,0,137
84245,1,0,0,0,137
90360,1,0,0,0,137
52533,1,0,0,0,137
8245,1,0,0,0,137
31105,1,0,0,0,137
58660,1,0,0,0,137
91650,1,0,0,0,137
35873,1,0,0,0,137
47734,1,0,0,0,137
94903,1,0,0,0,137
85879,1,0,0,0,137
98566,1,0,0,0,137
8490,2,1,1,1,68
52164,1,0,0,0,137
56039,16,2,0.9,0,383
69667,1,0,0,0,383
5182,1,0,0,0,383
60742,1,0,0,0,383
84887,1,0,0,0,383
82736,1,0,0,0,383
58846,1,0,0,0,383
28173,1,0,0,0,383
54909,1,0,0,0,383
48905,1,0,0,0,383
62739,1,0,0,0,383
71366,1,0,0,0,383
8663,1,0,0,0,383
39448,1,0,0,0,383
9636,1,0,0,0,383
31390,22,23,0.182711,93,74
20632,1,0,0,0,74
84306,1,0,0,0,74
21466,1,0,0,0,74
45975,1,0,0,0,74
72726,1,0,0,0,74
38260,1,0,0,0,74
60010,1,0,0,0,74
60704,31,22,0.165049,136,74
11820,1,0,0,0,74
67661,1,0,0,0,74
45051,1,0,0,0,74
23761,2,0,0,0,74
5848,1,0,0,0,74
54279,2,1,1,2,74
57803,2,1,1,2,74
7871,1,0,0,0,74
44773,1,0,0,0,74
7934,1,0,0,0,74
27869,10,1,1,0,65
4515,1,0,0,0,65
9785,1,0,0,0,65
98369,1,0,0,0,65
41691,1,0,0,0,65
25901,1,0,0,0,65
8773,2,0,0,0,65
51559,1,0,0,0,65
17721,1,0,0,0,65
20162,1,0,0,0,65
62435,1,0,0,0,65
93323,18,3,0.807692,63,148
73361,1,0,0,0,148
51776,1,0,0,0,148
44430,1,0,0,0,148
98467,1,0,0,0,148
65524,1,0,0,0,148
8459,1,0,0,0,148
73856,1,0,0,0,148
33926,1,0,0,0,148
53049,1,0,0,0,148
26280,1,0,0,0,148
3444,1,0,0,0,148
82546,1,0,0,0,148
81564,1,0,0,0,148
70353,1,0,0,0,148
61241,2,1,1,4,148
38842,2,2,0.666667,8,148
89295,20,2,0.857143,0,6
66204,1,0,0,0,6
99510,1,0,0,0,6
65242,1,0,0,0,6
79048,1,0,0,0,6
84058,1,0,0,0,6
74624,2,1,1,1,6
92441,1,0,0,0,6
31334,1,0,0,0,6
22467,2,1,1,1,6
45371,1,0,0,0,6
48013,1,0,0,0,6
25627,1,0,0,0,6
36647,1,0,0,0,6
97579,1,0,0,0,6
41543,1,0,0,0,6
61024,1,0,0,0,6
74642,3,1,1,2,6
39844,1,0,0,0,6
33076,2,0,0,0,6
19541,1,0,0,0,6
67037,4,1,1,0,7
41457,1,0,0,0,7
54684,1,0,0,0,7
7649,2,0,0,0,7
2149,1,0,0,0,7
52856,14,5,0.633333,0,54
30172,1,0,0,0,54
86509,2,1,1,0,54
54453,4,0,0,0,54
21152,1,0,0,0,54
55468,1,0,0,0,54
7432,1,0,0,0,54
26831,1,0,0,0,54
96616,1,0,0,0,54
37785,1,0,0,0,54
64447,1,0,0,0,54
16132,1,0,0,0,54
44078,1,0,0,0,54
4157,6,1,1,5,8
62109,1,0,0,0,8
71564,1,0,0,0,8
46229,1,0,0,0,8
13983,1,0,0,0,8
3068,1,0,0,0,8
78025,10,1,1,32,9
30013,1,0,0,0,9
63322,1,0,0,0,9
80557,1,0,0,0,9
95282,1,0,0,0,9
16645,2,0,0,0,9
64684,1,0,0,0,9
62636,1,0,0,0,9
8105,1,0,0,0,9
37013,25,3,0.875,0,11
48711,2,0,0,0,11
65718,1,0,0,0,11
84428,1,0,0,0,11
34355,1,0,0,0,11
36691,2,0,0,0,11
65979,1,0,0,0,11
16265,1,0,0,0,11
94924,1,0,0,0,11
49331,1,0,0,0,11
17328,2,1,1,1,11
24173,1,0,0,0,11
43261,1,0,0,0,11
68951,1,0,0,0,11
17039,1,0,0,0,11
83114,1,0,0,0,11
53464,1,0,0,0,11
48510,1,0,0,0,11
24008,1,0,0,0,11
70479,1,0,0,0,11
30015,1,0,0,0,11
33770,1,0,0,0,11
2920,1,0,0,0,11
41358,1,0,0,0,11
40764,2,2,0.666667,2,11
37287,1,0,0,0,11
23081,5,1,1,4,17
37346,1,0,0,0,17
91471,1,0,0,0,17
28927,1,0,0,0,17
45909,2,0,0,0,17
95800,4,1,1,0,10
86274,1,0,0,0,10
89802,1,0,0,0,10
21249,1,0,0,0,10
15095,1,0,0,0,10
34900,15,3,0.842105,48,18
86069,1,0,0,0,18
96070,2,0,0,0,18
94089,1,0,0,0,18
73751,1,0,0,0,18
59759,1,0,0,0,18
74671,1,0,0,0,18
67203,1,0,0,0,18
94261,1,0,0,0,18
90762,2,2,0.666667,8,18
7360,1,0,0,0,18
3987,1,0,0,0,18
91459,1,0,0,0,18
52055,12,2,0.928571,0,6
69514,1,0,0,0,6
4317,1,0,0,0,6
56182,1,0,0,0,6
56159,1,0,0,0,6
9935,1,0,0,0,6
12525,1,0,0,0,6
16540,2,1,1,1,6
39593,1,0,0,0,6
83169,1,0,0,0,6
82428,1,0,0,0,6
44774,1,0,0,0,6
96974,1,0,0,0,6
26963,4,1,1,45,84
80727,1,0,0,0,84
37015,2,0,0,0,84
50148,1,0,0,0,84
34820,26,2,0.964286,0,11
37869,1,0,0,0,11
69340,1,0,0,0,11
86923,1,0,0,0,11
46485,1,0,0,0,11
30596,1,0,0,0,11
97603,1,0,0,0,11
53550,1,0,0,0,11
67594,2,0,0,0,11
65849,1,0,0,0,11
56027,1,0,0,0,11
9677,1,0,0,0,11
96205,1,0,0,0,11
70501,1,0,0,0,11
84756,1,0,0,0,11
96667,2,0,0,0,11
13366,1,0,0,0,11
37714,1,0,0,0,11
37949,1,0,0,0,11
13933,1,0,0,0,11
84679,1,0,0,0,11
27599,1,0,0,0,11
51379,3,1,1,3,11
68293,1,0,0,0,11
73379,2,0,0,0,11
78323,1,0,0,0,11
1386,1,0,0,0,11
66019,28,3,0.885714,0,138
93748,1,0,0,0,138
36143,2,2,0.666667,2,138
81456,1,0,0,0,138
196,1,0,0,0,138
6781,1,0,0,0,138
48358,1,0,0,0,138
77203,1,0,0,0,138
32036,1,0,0,0,138
30294,1,0,0,0,138
38567,1,0,0,0,138
74907,1,0,0,0,138
16349,1,0,0,0,138
52552,1,0,0,0,138
34974,1,0,0,0,138
29127,1,0,0,0,138
90077,2,1,1,1,138
56230,1,0,0,0,138
24006,1,0,0,0,138
94255,1,0,0,0,138
37176,1,0,0,0,138
31482,1,0,0,0,138
29275,1,0,0,0,138
22182,1,0,0,0,138
22313,1,0,0,0,138
17590,1,0,0,0,138
24769,1,0,0,0,138
85233,1,0,0,0,138
51356,1,0,0,0,138
98182,15,2,0.941176,0,520
81386,1,0,0,0,520
36530,1,0,0,0,520
93138,1,0,0,0,520
3646,2,0,0,0,520
49338,1,0,0,0,520
17404,1,0,0,0,520
59098,1,0,0,0,520
93061,1,0,0,0,520
58994,1,0,0,0,520
63889,1,0,0,0,520
47038,1,0,0,0,520
60023,1,0,0,0,520
22000,1,0,0,0,520
60018,1,0,0,0,520
50295,2,1,1,1,520
87099,4,5,0.391304,0,114
92045,1,0,0,0,114
6719,1,0,0,0,114
63065,1,0,0,0,114
34867,16,10,0.337838,150,27
52379,1,0,0,0,27
20868,2,0,0,0,27
64579,1,0,0,0,27
7254,1,0,0,0,27
15666,1,0,0,0,27
70815,1,0,0,0,27
47640,1,0,0,0,27
99314,1,0,0,0,27
77585,1,0,0,0,27
5424,2,0,0,0,27
85817,1,0,0,0,27
36188,1,0,0,0,27
42248,2,0,0,0,27
5775,28,2,0.9375,0,74
92321,1,0,0,0,74
54908,1,0,0,0,74
14502,1,0,0,0,74
73393,1,0,0,0,74
71246,1,0,0,0,74
2624,1,0,0,0,74
70966,1,0,0,0,74
38471,1,0,0,0,74
7659,2,0,0,0,74
94433,2,0,0,0,74
44270,1,0,0,0,74
49425,1,0,0,0,74
79873,1,0,0,0,74
78290,1,0,0,0,74
23937,2,1,1,1,74
33459,1,0,0,0,74
77598,1,0,0,0,74
56198,1,0,0,0,74
16045,1,0,0,0,74
41280,1,0,0,0,74
661,2,1,1,1,74
3093,1,0,0,0,74
